YearsFromRegistration,powerPS,kilometer,abtest_test,vehicleType_cabrio,vehicleType_coupe,vehicleType_limousine,vehicleType_others,vehicleType_small car,vehicleType_station wagon,vehicleType_suv,fuelType_diesel,fuelType_electro,fuelType_hybrid,fuelType_lpg,fuelType_other,fuelType_petrol,gearbox_manual,notRepairedDamage_yes,brand_encoded,monthOfRegistration_Q2,monthOfRegistration_Q3,monthOfRegistration_Q4,price
14,104,90000,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,6,1,0,0,4400
12,69,30000,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,9,0,0,1,9000
23,75,150000,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,9,0,1,0,450
20,90,150000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5,0,1,0,1650
17,218,150000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,14,0,0,1,6599
26,231,125000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,20,0,1,0,7499
23,193,150000,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,4000
15,110,150000,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,38,0,0,1,2500
21,131,150000,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,38,0,0,0,3000
24,60,150000,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,25,0,0,0,1799
14,175,125000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,10,0,1,0,12950
10,103,40000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,38,0,1,0,33000
13,231,70000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,20,0,0,0,21500
20,58,150000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,24,0,1,0,1000
20,116,150000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,38,0,1,0,3500
17,105,125000,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,38,1,0,0,5490
14,231,150000,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,20,0,1,0,27950
26,110,150000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,36,0,0,1,1399
19,101,125000,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,24,0,0,1,3699
14,136,150000,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,3,0,1,0,6200
25,60,150000,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,38,0,1,0,1150
16,140,150000,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,38,0,0,1,4000
24,139,125000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,27,0,1,0,750
17,110,150000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,15,0,1,0,3000
20,116,150000,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,0,0,0,3500
20,110,150000,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,23,0,1,0,950
12,160,80000,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,7800
26,60,150000,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,38,0,0,1,1000
15,69,150000,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,10,0,0,0,3199
28,150,150000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,500
23,54,125000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,32,0,1,0,1950
5,143,150000,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,3950
28,110,150000,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,20,0,0,1,1350
11,122,50000,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,38,0,0,0,12600
29,60,150000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,38,0,0,1,800
11,105,150000,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,38,0,0,0,13500
19,105,150000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,38,0,0,1,4950
17,109,150000,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,1,0,2600
21,150,150000,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0,0,5400
16,131,150000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,38,1,0,0,18999
7,54,150000,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,38,1,0,0,3990
16,141,125000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,23,1,0,0,8000
22,60,150000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,10,0,0,0,199
11,184,40000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,21,0,0,0,17777
20,115,150000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,38,0,0,1,4950
20,124,150000,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,10,0,0,0,3100
20,110,150000,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,1500
51,18,10000,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,9,0,0,0,7777
19,143,150000,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,1,0,0,3990
18,111,150000,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,27,0,1,0,2399
19,250,70000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,29,0,0,1,8200
